Ator: Harrison Ford | Faturamento Bruto Total: 4871.70 
Ator: Samuel L. Jackson | Faturamento Bruto Total: 4772.80 
Ator: Morgan Freeman | Faturamento Bruto Total: 4468.30 
Ator: Tom Hanks | Faturamento Bruto Total: 4340.80 
Ator: Robert Downey, Jr. | Faturamento Bruto Total: 3947.30 
Ator: Eddie Murphy | Faturamento Bruto Total: 3810.40 
Ator: Tom Cruise | Faturamento Bruto Total: 3587.20 
Ator: Johnny Depp | Faturamento Bruto Total: 3368.60 
Ator: Michael Caine | Faturamento Bruto Total: 3351.50 
Ator: Scarlett Johansson | Faturamento Bruto Total: 3341.20 
Ator: Gary Oldman | Faturamento Bruto Total: 3294.00 
Ator: Robin Williams | Faturamento Bruto Total: 3279.30 
Ator: Bruce Willis | Faturamento Bruto Total: 3189.40 
Ator: Stellan Skarsgard | Faturamento Bruto Total: 3175.00 
Ator: Anthony Daniels | Faturamento Bruto Total: 3162.90 
Ator: Ian McKellen | Faturamento Bruto Total: 3150.40 
Ator: Will Smith | Faturamento Bruto Total: 3149.10 
Ator: Stanley Tucci | Faturamento Bruto Total: 3123.90 
Ator: Matt Damon | Faturamento Bruto Total: 3107.30 
Ator: Robert DeNiro | Faturamento Bruto Total: 3081.30 
Ator: Cameron Diaz | Faturamento Bruto Total: 3031.70 
Ator: Liam Neeson | Faturamento Bruto Total: 2942.70 
Ator: Andy Serkis | Faturamento Bruto Total: 2890.60 
Ator: Don Cheadle | Faturamento Bruto Total: 2885.40 
Ator: Ben Stiller | Faturamento Bruto Total: 2827.00 
Ator: Helena Bonham Carter | Faturamento Bruto Total: 2822.00 
Ator: Orlando Bloom | Faturamento Bruto Total: 2815.80 
Ator: Woody Harrelson | Faturamento Bruto Total: 2815.80 
Ator: Cate Blanchett | Faturamento Bruto Total: 2802.60 
Ator: Julia Roberts | Faturamento Bruto Total: 2735.30 
Ator: Elizabeth Banks | Faturamento Bruto Total: 2726.30 
Ator: Ralph Fiennes | Faturamento Bruto Total: 2715.30 
Ator: Emma Watson | Faturamento Bruto Total: 2681.90 
Ator: Tommy Lee Jones | Faturamento Bruto Total: 2681.30 
Ator: Brad Pitt | Faturamento Bruto Total: 2680.90 
Ator: Adam Sandler | Faturamento Bruto Total: 2661.00 
Ator: Daniel Radcliffe | Faturamento Bruto Total: 2634.40 
Ator: Jonah Hill | Faturamento Bruto Total: 2605.10 
Ator: Owen Wilson | Faturamento Bruto Total: 2602.30 
Ator: Idris Elba | Faturamento Bruto Total: 2580.60 
Ator: Bradley Cooper | Faturamento Bruto Total: 2557.70 
Ator: Mark Wahlberg | Faturamento Bruto Total: 2549.80 
Ator: Jim Carrey | Faturamento Bruto Total: 2545.20 
Ator: Dustin Hoffman | Faturamento Bruto Total: 2522.10 
Ator: Leonardo DiCaprio | Faturamento Bruto Total: 2518.30 
Ator: Jeremy Renner | Faturamento Bruto Total: 2500.30 
Ator: Philip Seymour Hoffman | Faturamento Bruto Total: 2463.70 
Ator: Sandra Bullock | Faturamento Bruto Total: 2462.60 
Ator: Chris Evans | Faturamento Bruto Total: 2457.80 
Ator: Anne Hathaway | Faturamento Bruto Total: 2416.50 
