CURSO,TURNO,CAMPUS,ANO,SEM,QUANTIDADE,CATEGORIA_TURNO,ANO_STR,DATA,SIGLA_CURSO
CEx01-CONVÊNIO COLORADO COLLEGE,DIURNO,JUIZ DE FORA,2003,1,2,DIURNO,Ano-2003,2003-01-01,CEx01
CEx02-CONVENIO UNIVERSIDADE DE PASSAU,DIURNO,JUIZ DE FORA,2003,1,4,DIURNO,Ano-2003,2003-01-01,CEx02
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2012,1,6,OUTRO,Ano-2012,2012-01-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2012,2,9,OUTRO,Ano-2012,2012-07-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2013,1,13,OUTRO,Ano-2013,2013-01-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2013,2,10,OUTRO,Ano-2013,2013-07-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2014,1,18,OUTRO,Ano-2014,2014-01-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2014,2,10,OUTRO,Ano-2014,2014-07-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2015,1,6,OUTRO,Ano-2015,2015-01-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2015,2,8,OUTRO,Ano-2015,2015-07-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2016,1,6,OUTRO,Ano-2016,2016-01-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2016,2,6,OUTRO,Ano-2016,2016-07-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2017,1,9,OUTRO,Ano-2017,2017-01-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2018,1,5,OUTRO,Ano-2018,2018-01-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2018,2,6,OUTRO,Ano-2018,2018-07-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2019,1,9,OUTRO,Ano-2019,2019-01-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2019,2,10,OUTRO,Ano-2019,2019-07-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2020,1,5,OUTRO,Ano-2020,2020-01-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2020,2,26,OUTRO,Ano-2020,2020-07-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2021,1,28,OUTRO,Ano-2021,2021-01-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2021,2,25,OUTRO,Ano-2021,2021-07-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2022,1,29,OUTRO,Ano-2022,2022-01-01,01ABI
01ABI-ABI - CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2022,2,25,OUTRO,Ano-2022,2022-07-01,01ABI
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1976,1,1,OUTRO,Ano-1976,1976-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1980,1,1,OUTRO,Ano-1980,1980-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1985,1,1,OUTRO,Ano-1985,1985-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1988,1,701,OUTRO,Ano-1988,1988-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1988,2,1,OUTRO,Ano-1988,1988-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1989,1,1,OUTRO,Ano-1989,1989-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1990,1,3,OUTRO,Ano-1990,1990-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1990,2,3,OUTRO,Ano-1990,1990-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1991,1,4,OUTRO,Ano-1991,1991-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1991,2,2,OUTRO,Ano-1991,1991-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1992,1,2,OUTRO,Ano-1992,1992-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1992,2,2,OUTRO,Ano-1992,1992-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1993,1,3,OUTRO,Ano-1993,1993-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1993,2,3,OUTRO,Ano-1993,1993-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1994,1,8,OUTRO,Ano-1994,1994-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1994,2,4,OUTRO,Ano-1994,1994-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1995,1,5,OUTRO,Ano-1995,1995-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1995,2,5,OUTRO,Ano-1995,1995-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1996,1,1,OUTRO,Ano-1996,1996-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1996,2,7,OUTRO,Ano-1996,1996-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1997,1,12,OUTRO,Ano-1997,1997-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1997,2,10,OUTRO,Ano-1997,1997-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1998,1,13,OUTRO,Ano-1998,1998-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1998,2,18,OUTRO,Ano-1998,1998-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1999,1,19,OUTRO,Ano-1999,1999-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,1999,2,10,OUTRO,Ano-1999,1999-07-01,01A
