CURSO;TURNO;CAMPUS;ANO;SEM;QUANTIDADE
CEx01-CONVÊNIO COLORADO COLLEGE;DIURNO;JUIZ DE FORA;2003;1;         2
CEx02-CONVENIO UNIVERSIDADE DE PASSAU;DIURNO;JUIZ DE FORA;2003;1;         4
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2012;1;         6
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2012;2;         9
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2013;1;        13
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2013;2;        10
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2014;1;        18
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2014;2;        10
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2015;1;         6
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2015;2;         8
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2016;1;         6
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2016;2;         6
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2017;1;         9
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2018;1;         5
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2018;2;         6
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2019;1;         9
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2019;2;        10
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2020;1;         5
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2020;2;        26
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2021;1;        28
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2021;2;        25
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2022;1;        29
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2022;2;        25
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1976;1;         1
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1980;1;         1
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1985;1;         1
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1988;1;       701
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1988;2;         1
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1989;1;         1
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1990;1;         3
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1990;2;         3
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1991;1;         4
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1991;2;         2
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1992;1;         2
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1992;2;         2
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1993;1;         3
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1993;2;         3
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1994;1;         8
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1994;2;         4
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1995;1;         5
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1995;2;         5
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1996;1;         1
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1996;2;         7
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1997;1;        12
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1997;2;        10
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1998;1;        13
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1998;2;        18
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1999;1;        19
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;1999;2;        10
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2000;1;        15
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2000;2;        15
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2001;1;        12
01A-CIÊNCIAS BIOLÓGICAS;INTEGRAL;JUIZ DE FORA;2001;2;        14
